facility_id,facility_name,reporting_entity,state,facility_type,installed_capacity_mw,latitude,longitude,timestamp,power_mw,emissions_t_co2e,received_at
30,Nyngan Solar Plant,AGL Energy Limited,NSW,other,21.637,-31.556484,147.0860758,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
31,Oaklands Hill Wind Farm,AGL Energy Limited,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,44.0,0.0,2026-05-29 00:47:43.619987
35,Silverton Wind Farm,AGL Energy Limited,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,84.0412,0.0,2026-05-29 00:47:43.619987
36,Somerton Power Station,AGL Energy Limited,VIC,power_station,579.1320000000001,-37.6316012,144.9525619,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
37,Torrens Island Power Station,AGL Energy Limited,SA,power_station,3.091,-34.8064918,138.5231308,2026-05-07 23:55:00,41.0,2.0153,2026-05-29 00:47:43.619987
38,Wattle Point Wind Farm,AGL Energy Limited,SA,wind_farm,3.091,-30.5343665,135.6301212,2026-05-07 23:55:00,40.84,0.0,2026-05-29 00:47:43.619987
40,West Kiewa Hydro,AGL Energy Limited,VIC,hydro,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,39.3,0.0,2026-05-29 00:47:43.619987
51,Braemar 2 Power Station,Arrow Energy Holdings Pty Ltd,QLD,power_station,478.4090000000001,-27.1128667,150.9054405,2026-05-07 23:55:00,0.1913,0.0092,2026-05-29 00:47:43.619987
53,Osborne facility,ATCO AUSTRALIA PTY LTD,SA,generic_facility,3.091,-34.7859285,138.5072887,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
63,Callide B Power Station,C S Energy Limited,QLD,power_station,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,557.0,44.1527,2026-05-29 00:47:43.619987
64,Callide C Power Station,C S Energy Limited,QLD,power_station,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,417.45,30.3789,2026-05-29 00:47:43.619987
65,Kogan Creek Power Station,C S Energy Limited,QLD,power_station,478.4090000000001,-26.9176213,150.752275,2026-05-07 23:55:00,321.5428,22.7555,2026-05-29 00:47:43.619987
66,Wivenhoe Power Station,C S Energy Limited,QLD,power_station,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
83,Cullerin Range Wind Farm,CK William Australia Holdings Pty Ltd,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,135.7529,0.0,2026-05-29 00:47:43.619987
89,German Creek CMM Power Station,CK William Australia Holdings Pty Ltd,QLD,industrial_gas_or_landfill,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,16.97,0.8,2026-05-29 00:47:43.619987
104,Moranbah North CMM Power Station,CK William Australia Holdings Pty Ltd,QLD,industrial_gas_or_landfill,478.4090000000001,-22.1646782,144.5844903,2026-05-07 23:55:00,19.6,1.0417,2026-05-29 00:47:43.619987
